FIRE HALL NAME,LATITUDE,LONGITUDE,0
No 1,49.27575579,-123.0896336,9XX Heatley Av
No 2,49.28339893,-123.1000289,1XX Main St
No 3,49.25997166,-123.1034324,28XX Quebec St
No 4,49.26287106,-123.137579,14XX W 10th Av
No 5,49.21988386,-123.0417508,30XX E 54th Av
No 6,49.28648774,-123.1347863,10XX Nicola St
No 7,49.2835249,-123.1259308,10XX Haro St
No 8,49.27806066,-123.1176394,8XX Hamilton St
No 9,49.26811179,-123.0661831,18XX Victoria Drive
No 12,49.26479274,-123.1736145,24XX Balaclava St
No 13,49.24889068,-123.0880635,40XX Prince Albert ST
No 14,49.27638867,-123.0463537,28XX Venables St
No 15,49.25088555,-123.0412305,30XX E 22nd Av
No 17,49.21980568,-123.076718,70XX Knight St
No 18,49.23727165,-123.1366127,13XX W 38th Av
No 19,49.26167944,-123.2059424,43XX W 12th Av
No 20,49.23577915,-123.0650523,54XX Victoria Drive
No 21,49.23730325,-123.1732814,54XX Carnarvon St
No 22,49.21742538,-123.1297701,10XX W 59th Av
No 10,49.258019,-123.238169,29XX Wesbrook Mall
