STATION,LAT,LONG
WATERFRONT,49.2860754854493,-123.111738155627
BURRARD,49.2858601496754,-123.119972336831
GRANVILLE,49.2836376878638,-123.116404027665
STADIUM - CHINATOWN,49.2794416930032,-123.109564795656
MAIN ST. - SCIENCE WORLD,49.2731779129851,-123.100606907519
BROADWAY,49.2618178476532,-123.069099402992
NANAIMO,49.2482722113354,-123.055871516595
29TH AVENUE,49.2442425934484,-123.045940674179
JOYCE - COLLINGWOOD,49.2383938064,-123.031806717203
RUPERT,49.2607647789351,-123.032823831819
RENFREW,49.2588929116788,-123.045308458871
COMMERCIAL DRIVE,49.2629362684988,-123.068453898483
VCC - CLARK,49.2657831997804,-123.078962252228
WATERFRONT,49.2856657680643,-123.113339268651
VANCOUVER\nCITY\nCENTRE,49.2817347083362,-123.119284088603
YALETOWN-/nROUNDHOUSE,49.2743622559558,-123.121890377366
OLYMPIC\nVILLAGE,49.2663402332777,-123.115196678961
BROADWAY-\nCITY HALL,49.2627734692085,-123.114782181714
KING EDWARD,49.2491228793651,-123.115336104396
OAKRIDGE-\n41st. AVE.,49.2334668118113,-123.116040675754
LANGARA-\n49th AVE.,49.2263869203022,-123.116324861119
MARINE DRIVE,49.2095478744217,-123.117070775897
